"County","DEM_President_Undervotes","DEM_President_Percentage","REP_President_Undervotes","REP_President_Percentage","DEM_Senate_Undervotes","DEM_Senate_Percentage","REP_Senate_Undervotes","REP_Senate_Percentage","Total_REP_Votes","Total_DEM_Votes","Percent_DEM_of_Total","Difference_Undervotes_pres"
"Montgomery",335,0.431901397555567,361,2.90590034613217,897,1.1564643391264,306,1.80254476908577,12423,77564,86.1946725638148,2.47399894857661
"Howard",231,0.516478111165765,512,3.21992327526571,967,2.16205339176318,261,1.64140620086787,15901,44726,73.7724116317812,2.70344516409994
"Frederick",168,0.651870246779451,491,2.40015642567336,471,1.82756479900667,442,2.16062961333529,20457,25772,55.7485561011486,1.74828617889391
"Baltimore City",1203,1.28410400922249,175,4.27872860635697,3088,3.29618718244311,157,3.45206684256816,4090,93684,95.8168838341481,2.99462459713448
"Baltimore",331,0.493411245602528,543,1.95598141277332,1107,1.65016993619939,530,1.61020811180313,27761,67084,70.7301386472666,1.46257016717079
"Allegany",34,1.00176782557454,126,1.74951402388225,80,2.35710076605775,194,2.69369619550125,7202,3394,32.0309550773877,0.747746198307711
"Anne Arundel",233,0.425516372335957,903,2.54667493936488,1145,2.09105685117884,575,1.6216368661515,35458,3394,60.6961148367788,2.12115856702893
"Calvert",59,0.737039350405996,185,2.00846813592444,247,3.08557151780137,213,2.31245250244273,9211,8005,46.4974442379182,1.27142878551844
"Caroline",8,0.592153960029608,41,1.5465861938891,39,2.88675055514434,40,1.508864579404,2651,1351,33.7581209395302,0.954432233859491
"Carroll",40,0.357462019660411,514,2.59635298277517,288,2.57372654155496,259,1.30827903217659,19797,11190,36.1119179010553,2.23889096311476
"Cecil",42,0.909681611435997,361,2.54709659211176,208,4.50508988520684,658,4.64263035348903,14173,4617,24.5715806279936,1.63741498067576
"Charles",94,0.47146153074531,151,2.45888291809152,229,1.14856053766677,99,1.61211529066927,6141,19938,76.4523179569769,1.98742138734621
"Dorchester",23,1.01950354609929,55,1.87521309239686,79,3.50177304964539,61,2.07978179338561,2933,2256,43.4765850838312,0.855709546297572
"Garrett",12,0.920951650038373,81,1.7574311130397,32,2.45587106676899,108,2.34324148405294,4609,1303,22.0399188092016,0.836479463001332
"Harford",73,0.404320132927167,458,1.8342010412495,410,2.27083910274162,421,1.68602322787345,24970,18055,41.9639744334689,1.42988090832233
"Kent",15,0.717703349282297,46,2.47844827586207,52,2.48803827751196,19,1.02370689655172,1856,2090,52.9650278763305,1.76074492657977
"Prince George's",378,0.40997830802603,242,3.9298473530367,520,0.563979089390686,146,2.37089964274115,6158,92200,93.7391976250025,3.51986904501067
"Queen Anne's",15,0.419111483654652,89,1.48432288192128,79,2.20732048058117,82,1.36757838559039,5996,3579,37.378590078329,1.06521139826663
"St. Mary's",86,1.15219721329046,263,2.40490124359912,329,4.40782422293676,237,2.16715435259693,10936,7464,40.5652173913044,1.25270403030866
"Somerset",8,0.800800800800801,27,1.54109589041096,36,3.6036036036036,21,1.1986301369863,1752,999,36.3140676117775,0.740295089610158
"Talbot",19,0.48469387755102,93,2.36040609137056,83,2.11734693877551,46,1.16751269035533,3940,3920,49.8727735368957,1.87571221381954
"Washington",122,1.35857461024499,355,2.52867013320037,246,2.73942093541203,448,3.19111047795427,14039,8980,39.0112515747861,1.17009552295538
"Wicomico",32,0.567677842824197,140,2.07745956373349,194,3.4415469221217,72,1.06840777563437,6739,5637,45.5478345184228,1.50978172090929
"Worcester",16,0.405371167975678,135,2.16103729790299,208,5.26982518368381,82,1.31263006242997,6247,3947,38.7188542279772,1.75566612992732
